Helyezés;"ITTF - ETTU";"MOATSZ ranglistapont";Élő-pont;Engedélyszám;Korcsoport;Név;Egyesület
1;9;8170;2198;21349;U13;"Zsigmond Simon";"Ceglédi Vasutas Sport Egyesület"
2;;6410;2006;19889;U13;"Károly Mátyás";"Budaörsi Sport Club"
3;;5875;2026;20037;U12;"Gilicz Bálint";"Turris Sportegyesület Sopron"
4;;3425;1962;19953;U12;"Pálos Erik";"Mohácsi Torna Egylet 1888"
5;;3350;1893;19813;U11;"Kiss Péter";"Ceglédi Vasutas Sport Egyesület"
6;;2558;1813;22196;U12;"Kukucska Martin";"Városi Sportegyesület Dunakeszi"
7;;2515;1941;21642;U13;"Szoboszlay András";BVSC-Zugló
8;;2490;1829;21328;U12;"Péntek Gábor Levente";"Győri Atlétika Club - II. kerület Dózsa"
9;;2165;1863;21249;U13;"Müller Dániel";"Pingpongozz Velünk Sportegyesület"
10;;1855;1853;22220;U13;"Mátrai Benedek";"Dombóvári Asztalitenisz Club Egyesület"
11;;1720;1842;21501;U11;"Halmai Csongor";"Mohácsi Torna Egylet 1888"
12;;1610;1813;21916;U13;"Takács Bálint";BVSC-Zugló
13;;1385;1778;21676;U13;"Fülöp Máté";"Ceglédi Vasutas Sport Egyesület"
14;;1295;1744;22436;U10;"Nemes Ábel";"Celldömölki Városi és Vasutas Sportegyesület"
15;;1250;1755;21872;U12;"Németh Endre Pál";"Demeter Lehel Asztalitenisz Sportegyesület"
16;;1135;1681;22800;U11;"Bernek Áron";BVSC-Zugló
17;;1090;1758;22092;U12;"Horváth Dániel";"Kiskunmajsai Asztalitenisz Club"
18;;1079;1735;20116;U13;"Csóka Teó";"Városi Sportegyesület Dunakeszi"
19;;835;1665;21187;U12;"Németh Gergely";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
20;;800;1707;22280;U13;"Domján Erik";"Kaposvári Asztalitenisz Club"
21;;720;1774;21557;U13;"Csüri Dániel";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
22;;705;1621;21631;U11;"Márton Marcell";"Kaposvári Asztalitenisz Club"
23;;700;1674;22669;U12;"Kovács Lehel";"Kecskeméti Junior Sport Nonprofit Kft."
24;;660;1657;21695;U13;"Kovács Ákos";"Kispest Sportegyesület"
25;;600;1927;23095;U12;"Bej Sergiu Ovidiu";"Arad (ROM)"
26;;595;1646;22441;U13;"Sivic Tim";BVSC-Zugló
27;;557;1486;22706;U12;"Bancsó Belián";"Győri Atlétika Club - II. kerület Dózsa"
28;;555;1663;22453;U13;"Veres Máté";"Kecskeméti Junior Sport Nonprofit Kft."
29;;555;1541;22425;U11;"Koczka Hunor";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
30;;540;1629;21791;U12;"Kéri Kristóf";"Asztalitenisz Sportegyesület Orosháza"
31;;535;1571;21993;U12;"Kudlik Gábor András";"Budaörsi Sport Club"
32;;515;1671;22438;U12;"Légrády Nimród";"Asztalitenisz Sport Klub Szeged"
33;;500;1541;22317;U11;"Kerekes Zsombor";"Szerencs Város Sportegyesülete"
34;;420;1535;22226;U12;"Márton Ede";"Debreceni Asztalitenisz Klub"
35;;392;1577;22118;U10;"Farkas Péter";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
36;;380;1564;22346;U11;"Lepp Ervin";BVSC-Zugló
37;;378;1571;22246;U11;"Balogh Zente";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
38;;370;1599;22247;U11;"Salánki Barnabás";"Ceglédi Vasutas Sport Egyesület"
39;;360;1524;22420;U12;"Bogdán Flórián";"Kanizsa Sörgyár Sportegyesület"
40;;355;1499;22416;U13;"Tóth Örs";"Asztalitenisz Sport Klub Szeged"
41;;350;1650;21974;U11;"Csuri Ádám";"Asztalitenisz Sport Klub Szeged"
42;;345;1504;22107;U12;"Kócsy Tamás";"Ambrus Asztalitenisz Akadémia"
43;;320;1503;22351;U12;"Eötvös Levente";"Központi Sport- és Ifjúsági Egyesület"
44;;280;1581;22826;U10;"Tóth Olivér";"Celldömölki Városi és Vasutas Sportegyesület"
45;;280;1499;22106;U10;"Kócsy Albert";"Ambrus Asztalitenisz Akadémia"
46;;260;1471;21857;U11;"Nagy Balázs";"Budaörsi Sport Club"
47;;185;1512;22370;U10;"Németh Marcell";"Mohácsi Torna Egylet 1888"
48;;185;1553;21803;U13;"Fenyvesi Bence";"Félegyházi Asztalitenisz Sportiskola"
49;;185;1458;22245;U12;"Kerekes Armand";"Ambrus Asztalitenisz Akadémia"
50;;173;1475;22829;U10;"Hajdu-Gregor Barnabás";"Budakörnyéki Sportegyesület"
51;;165;1492;22574;U10;"Kusz Milán";"Sásd Városi Sportkör"
52;;164;1384;22825;U10;"Balogh Levente";"Kanizsa Sörgyár Sportegyesület"
53;;155;1896;21667;U13;"Oláh Levente";"Pénzügyőr Sportegyesület"
54;;140;1427;22395;U9;"Gilicz Dávid";"Turris Sportegyesület Sopron"
55;;136;1442;22877;U9;"Suskó Vencel";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
56;;128;1492;22937;U13;"Konkoly Áron";"Asztalitenisz Sport Klub Szeged"
57;;118;1482;22288;U9;"Raffensperger Máté";"Turris Sportegyesület Sopron"
58;;105;1815;22957;U13;"Dehelean Alexandru";"Temesvári klub (ROM)"
58;;105;1790;22962;U12;"Szabó Ádám";"Temesvári klub (ROM)"
60;;90;1419;22415;U10;"Tóth Gellért";"Asztalitenisz Sport Klub Szeged"
61;;88;1574;22618;U12;"Hegedűs Bors";"Veszprémi Asztalitenisz Sportegyesület"
62;;88;1376;22832;U9;"Samu Szilas";BVSC-Zugló
63;;84;1399;22140;U12;"Nagy Marcell";"Győri Atlétika Club - II. kerület Dózsa"
64;;83;1508;22440;U13;"Mátrai Csanád";BVSC-Zugló
65;;80;1576;23094;U9;"Kaposta Dominik Andrei";"Arad (ROM)"
66;;73;1352;22256;U12;"Radics Patrik";"Ajkai Asztalitenisz Sportegyesület"
67;;73;1423;22450;U13;"Németh Bence";"Győri Atlétika Club - II. kerület Dózsa"
68;;63;1490;22121;U12;"Király Erik";"Ajkai Asztalitenisz Sportegyesület"
69;;63;1492;23108;U13;"Éles Alexander";"Pécsi Egyetemi Atlétikai Club"
70;;63;1415;22816;U11;"Tóth Róbert Zoltán";BVSC-Zugló
71;;63;1425;22827;U9;"Köllő Áron";"Szerencs Város Sportegyesülete"
72;;59;1354;23103;U8;"Bognár Botond";"Pécsi Egyetemi Atlétikai Club"
73;;57;1412;20675;U10;"Tar Marcell";"Budakörnyéki Sportegyesület"
74;;53;1338;22794;U13;"Horváth Ákos Bendegúz";"Kanizsa Sörgyár Sportegyesület"
75;;49;1452;22786;U11;"Kovács Sámuel";"MALÉV-Budapest Airport HungaroControl Sport Club"
76;;47;1413;22249;U12;"Lendvai Patrik";"SZERVA Asztalitenisz Sport Egyesület"
77;;45;1474;23035;U13;"Fiedler Benjámin";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
77;;45;1489;22173;U10;"Kanyó Dániel";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
79;;44;1324;22781;U11;"Kéri Zalán";"Központi Sport- és Ifjúsági Egyesület"
80;;42;1293;22919;U10;"Markó Márton Andor";"Budakörnyéki Sportegyesület"
81;;37;1368;22925;U9;"Tóth Botond";"Budakörnyéki Sportegyesület"
82;;35;1575;21332;U13;"Rázsics Miklós";"Mohácsi Torna Egylet 1888"
83;;33;1330;22768;U11;"Nagyhajú János";"Központi Sport- és Ifjúsági Egyesület"
84;;28;1440;22731;U12;"Németh Benedek";"Kispest Sportegyesület"
85;;25;1100;23029;U8;"Krajcz Márton";"Jászkun Volán Sport Club Korlátolt Felelősségú Társaság"
86;;22;1347;22878;U11;"Galgóczy Áron";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
87;;19;1403;22785;U8;"Kovács Izsák";"MALÉV-Budapest Airport HungaroControl Sport Club"
88;;17;1392;22715;U7;"Szakál Olivér";"Debreceni Asztalitenisz Klub"
89;;15;1359;22823;U13;"Girardi Bende";"Kispest Sportegyesület"
90;;14;1517;22628;U13;"Frank Máté";"Eleki Asztalitenisz SE"
91;;12;1506;22136;U11;"Takács Hunor";"Ajkai Asztalitenisz Sportegyesület"
92;;12;1360;22896;U10;"Székely András";"Sásd Városi Sportkör"
93;;8;1449;22572;U12;"Bocz Márton";"Községi Sportegyesület Nyírtét"
94;;8;1323;22331;U10;"Ligeti Levente";"Turris Sportegyesület Sopron"
95;;8;1382;22360;U13;"Somlyai Balázs";"Békési Ifjúsági Asztaliteniszért Alapítvány"
96;;8;1387;22903;U10;"Varga Benett";"Sásd Városi Sportkör"
96;;8;1424;22550;U13;"Simon Marcell";"Pécsi Egyetemi Atlétikai Club"
98;;8;1267;22802;U12;"Pánczél-Nagy Dániel";"Kispest Sportegyesület"
99;;8;1293;22953;U11;"Pető Máté";"Hügiéne Bt."
100;;5;1530;22732;U13;"Burger-Kosztka Bendegúz";"Kispest Sportegyesület"
101;;5;1368;22822;U10;"Nemes Andor";BVSC-Zugló
102;;4;1317;22573;U10;"Fodor Balázs";"Községi Sportegyesület Nyírtét"
103;;4;1372;22986;U9;"Kópházi Zsigmond";"Turris Sportegyesület Sopron"
104;;4;1293;23117;U11;"Varga Éli";"Pénzügyőr Sportegyesület"
105;;4;1491;22702;U12;"Bátori Nándor";"HED-LAND Sportcsarnok Sportegyesület"
