Helyezés;"ITTF - ETTU";"MOATSZ ranglistapont";Élő-pont;Engedélyszám;Korcsoport;Név;Egyesület
1;4;6850;2543;16938;U19;"Szántosi Dávid";"Szarvasi ""Körös"" Asztalitenisz Sportegyesület"
2;7;0;2530;16533;U18;"Lei Balázs";"Honvéd Szondi György Sportegyesület"
3;;8011;2443;19095;U15;"Gergely Márk";"Szombathelyi Asztalitenisz Kör"
4;;7150;2362;16916;U18;"Kizakisz Georgiosz";"YORGOS Asztalitenisz Sportegyesület"
5;;6175;2389;17615;U17;"Poór Balázs";"Szombathelyi Asztalitenisz Kör"
6;;4600;2354;19482;U15;"Szabó Lénárd";"Honvéd Szondi György Sportegyesület"
7;;4340;2348;17620;U19;"Fodor Csaba";"Központi Sport- és Ifjúsági Egyesület"
8;;3290;2367;17803;U19;"Wei Chen Yu";"Magyar Kínai Asztalitenisz Klub "
9;;2800;2258;19114;U18;"Gőgös Martin";"Celldömölki Városi és Vasutas Sportegyesület"
10;;2405;2350;17799;U19;"Epinger Márton";"Tatai Atlétikai Club"
11;;2318;2210;19312;U16;"Arany Borisz";BVSC-Zugló
12;;2200;2232;18720;U17;"Ifj Hegyi Péter";"Debreceni Asztalitenisz Klub"
13;;2186;2251;17422;U16;"Fegyver Zsombor";BVSC-Zugló
14;;2085;2125;21814;U19;"Moravcsík Gellért";"Budaörsi Sport Club"
15;;2080;2189;19281;U19;"Shan Xianyi";"Dunaújvárosi Egyetem Sportegyesület"
16;;1680;2140;18782;U15;"Stefán Bence";BVSC-Zugló
17;;1635;2130;18543;U16;"Lindner Zétény";"Városi Sportegyesület Dunakeszi"
18;;1615;2156;17027;U19;"Vörös Balázs";"Központi Sport- és Ifjúsági Egyesület"
19;;1530;2110;19589;U15;"Telek Kristóf";"Ceglédi Vasutas Sport Egyesület"
20;;1390;2080;19370;U14;"Kázmács Bence";"Ajkai Asztalitenisz Sportegyesület"
21;;1180;2135;19890;U15;"Balázs Botond";"Budaörsi Sport Club"
22;;1175;2033;19749;U16;"Harkányi Ábel";BVSC-Zugló
23;;1153;2071;18759;U17;"Kancsár Péter";BVSC-Zugló
24;;1030;2178;19507;U14;"Zubor Péter";BVSC-Zugló
25;;1030;2143;19592;U14;"Tokai Ádám";"Debreceni Asztalitenisz Klub"
26;;920;2141;17125;U18;"Pálos Gergő";"Pécsi Egyetemi Atlétikai Club"
27;;895;2134;17292;U19;"Szlivka Norbert";"Városi Sportegyesület Dunakeszi"
28;;848;2079;19019;U15;"Bábik Zoltán";BVSC-Zugló
29;;840;2031;19094;U16;"Szarka Gábor";"Szombathelyi Asztalitenisz Kör"
30;;820;2140;20536;U17;"Vass Bertalan";"Pécsi Egyetemi Atlétikai Club"
31;;808;2052;21459;U15;"Li Xiang";"Ambrus Asztalitenisz Akadémia"
32;;805;2182;18535;U17;"Pricz László";"Pécsi Egyetemi Atlétikai Club"
33;;795;2047;18431;U14;"Vámosi Benjamin";"Központi Sport- és Ifjúsági Egyesület"
34;;725;1914;21861;U14;"Nyírő Levente";"Waldorfia Sport Kör"
35;;687;2006;19889;U13;"Károly Mátyás";"Budaörsi Sport Club"
36;;680;2081;20088;U14;"Váry Zsombor";BVSC-Zugló
37;;660;2090;19010;U17;"Lovas Csongor";"Városi Sportegyesület Dunakeszi"
38;;650;2022;18807;U18;"Bognár Barnabás";"Pécsi Egyetemi Atlétikai Club"
39;;616;1941;21642;U13;"Szoboszlay András";BVSC-Zugló
40;;565;2169;20018;U15;"Kovács Tamás";"Nyírbátori Asztalitenisz Sportegyesület"
41;;530;1973;19588;U15;"Petrik Sebestyén";"Ceglédi Vasutas Sport Egyesület"
42;;515;1978;17617;U19;"Horváth Gábor";"Szombathelyi Asztalitenisz Kör"
43;;485;1762;21311;U16;"Virovecz Dániel";"Kanizsa Sörgyár Sportegyesület"
44;;460;2105;18169;U19;"Oroszki Péter";"Városi Sportegyesület Dunakeszi"
45;;440;2123;18338;U19;"Klucsár Balázs";"Városi Sportegyesület Dunakeszi"
46;;385;1998;19921;U16;"Botos Marcell";"Demeter Lehel Asztalitenisz Sportegyesület"
47;;365;2078;21933;U19;"Hortobágyi Bálint";"Demeter Lehel Asztalitenisz Sportegyesület"
48;;330;1717;21312;U19;"Havasi Patrik";"Kanizsa Sörgyár Sportegyesület"
49;;305;1978;21208;U17;"Magyari Milán";"Demeter Lehel Asztalitenisz Sportegyesület"
50;;298;2006;18430;U19;"Klampár Tibor";"Központi Sport- és Ifjúsági Egyesület"
51;;295;2127;18334;U18;"Kókai Ákos";"Asztalitenisz Sport Klub Szeged"
52;;293;1899;21801;U14;"Oláh Péter";"Kiskunmajsai Asztalitenisz Club"
53;;293;1778;21988;U14;"Bíró Máté";"Kecskeméti Junior Sport Nonprofit Kft."
54;;290;1911;21237;U18;"Knecht Barnabás";"Nyírbátori Asztalitenisz Sportegyesület"
55;;285;2198;21349;U13;"Zsigmond Simon";"Ceglédi Vasutas Sport Egyesület"
56;;265;2330;17751;U18;"Cseri Ádám";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
57;;263;1871;21281;U15;"Ambrus Ákos";"MALÉV-Budapest Airport HungaroControl Sport Club"
58;;260;1978;19500;U17;"Frank-Sánta Erik";"Ambrus Asztalitenisz Akadémia"
59;;248;1812;19746;U16;"Vábró Márton";"Budaörsi Sport Club"
60;;245;1863;21249;U13;"Müller Dániel";"Pingpongozz Velünk Sportegyesület"
61;;240;1913;20678;U17;"Antal Sámuel Benedek";"Biatorbágyi Sport Club Egyesület"
62;;240;1813;21916;U13;"Takács Bálint";BVSC-Zugló
63;;235;2144;22831;U17;"Forgacs Mark";"TV 1879 Hilpoltstein Tischtennis (GER)"
64;;230;1911;21213;U17;"Bartus György";"Turris Sportegyesület Sopron"
65;;225;2026;20037;U12;"Gilicz Bálint";"Turris Sportegyesület Sopron"
66;;218;1684;22292;U15;"Mester Ádám";"Turris Sportegyesület Sopron"
67;;195;2128;19209;U19;"Sárossy Balázs";"Szerencs Város Sportegyesülete"
68;;190;1992;21934;U16;"Posgay Brúnó";"Demeter Lehel Asztalitenisz Sportegyesület"
69;;189;1663;22453;U13;"Veres Máté";"Kecskeméti Junior Sport Nonprofit Kft."
70;;178;1746;19413;U18;"Stoff Henrik";"SZERVA Asztalitenisz Sport Egyesület"
71;;175;1956;21203;U17;"Mészáros Bálint";"Turris Sportegyesület Sopron"
72;;175;1852;21477;U16;"Tiszóczki Ádám";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
73;;163;1794;21992;U16;"Rottár Eric";"Kecskeméti Junior Sport Nonprofit Kft."
74;;160;1850;21831;U14;"Nagy Keve Richárd";"Mosonmagyaróvári Asztalitenisz Sportegyesület"
75;;160;1758;22092;U12;"Horváth Dániel";"Kiskunmajsai Asztalitenisz Club"
76;;155;1908;18211;U18;"Márton Kornél";"Kaposvári Asztalitenisz Club"
77;;150;1780;19375;U17;"Takács Mátyás";"Ajkai Asztalitenisz Sportegyesület"
78;;140;1899;18942;U15;"Tran Trung Kien";"Magyar Kínai Asztalitenisz Klub "
79;;138;1681;19372;U16;"Marsi Ármin";"Ajkai Asztalitenisz Sportegyesület"
80;;135;1913;22027;U17;"Réfy Mór";"Asztalitenisz Sport Club Kalocsa"
81;;133;1611;22200;U18;"Oláh Ádám Áron";"SZERVA Asztalitenisz Sport Egyesület"
82;;133;1745;21878;U15;"Bogoly Zsombor";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
83;;130;2234;17110;U19;"Köllő Ábel";"Szerencs Város Sportegyesülete"
84;;125;2036;18108;U19;"Szabó Kolos";"Mohácsi Torna Egylet 1888"
85;;124;1625;22779;U15;"Kun Szabó Dániel";"Kecskeméti Junior Sport Nonprofit Kft."
86;;113;1903;21271;U15;"Stergerics Áron";"Mosonmagyaróvári Asztalitenisz Sportegyesület"
87;;113;1645;22912;U15;"Koczka Bendegúz";"Pénzügyőr Sportegyesület"
88;;113;1417;22112;U14;"Lőrincz Dominik";"Hügiéne Bt."
89;;113;1755;21872;U12;"Németh Endre Pál";"Demeter Lehel Asztalitenisz Sportegyesület"
90;;113;1749;20090;U14;"Lakat Szabolcs";BVSC-Zugló
91;;110;1853;22220;U13;"Mátrai Benedek";"Dombóvári Asztalitenisz Club Egyesület"
92;;110;1987;21171;U17;"Biró Patrik";"Ajkai Asztalitenisz Sportegyesület"
93;;105;1778;21676;U13;"Fülöp Máté";"Ceglédi Vasutas Sport Egyesület"
94;;100;1754;22064;U17;"Lázár Bálint";"Váci Reménység Egyesület"
95;;95;1662;22067;U16;"Grimm Robin";"Váci Reménység Egyesület"
96;;90;1886;17614;U19;"Poór Patrik";"Szombathelyi Asztalitenisz Kör"
97;;80;1984;21558;U14;"Rédai Bálint";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
98;;80;1730;22095;U14;"Bakulya Tamás";"Demeter Lehel Asztalitenisz Sportegyesület"
99;;75;1827;22541;U18;"Nagy-Horváth Péter";"SU Sparkasse Kufstein /AUT"
100;;65;2141;18335;U18;"Kasa Zsombor";"Asztalitenisz Sport Klub Szeged"
101;;65;1583;20316;U17;"Németh Tibor";"Váci Reménység Egyesület"
102;;60;1707;22280;U13;"Domján Erik";"Kaposvári Asztalitenisz Club"
102;;60;1725;21730;U19;"Benedek Mátyás";"Váci Reménység Egyesület"
102;;60;1527;22065;U16;"Lieszkovszki Zalán";"Váci Reménység Egyesület"
105;;60;1844;22552;U17;"Zhu Shaoming";"Pénzügyőr Sportegyesület"
106;;55;1607;22066;U19;"Lind Botond";"Váci Reménység Egyesület"
107;;55;1803;19910;U19;"Cserép Ádám";"Ráckevei Asztalitenisz Torna Egyesület"
108;;53;1849;22138;U14;"Unyi Zoltán";"SZERVA Asztalitenisz Sport Egyesület"
109;;51;1524;22420;U12;"Bogdán Flórián";"Kanizsa Sörgyár Sportegyesület"
110;;51;1715;21865;U17;"Birher Ágoston";"Waldorfia Sport Kör"
111;;45;1509;22397;U16;"Lőrincz Vince";"Pásztói Asztalitenisz Club"
111;;45;1413;22249;U12;"Lendvai Patrik";"SZERVA Asztalitenisz Sport Egyesület"
113;;43;1908;21313;U18;"Gál Tamás";"Debreceni Asztalitenisz Klub"
114;;43;1733;22097;U17;"Szegő Bence";"Szent Miklós Görögkatolikus Sportegyesület"
115;;38;1789;17882;U18;"Mózer Máté";"MALÉV-Budapest Airport HungaroControl Sport Club"
116;;27;1654;22209;U15;"Antal Gergely";"Kecskeméti Junior Sport Nonprofit Kft."
117;;26;1674;22669;U12;"Kovács Lehel";"Kecskeméti Junior Sport Nonprofit Kft."
118;;16;1665;21187;U12;"Németh Gergely";"Diósgyőri Vasgyárak Testgyakorlók Köre Sportegyesület"
119;;16;1666;21623;U15;"Egyházy Roland";"Mosonmagyaróvári Asztalitenisz Sportegyesület"
120;;16;1456;22203;U14;"Taksonyi Máté";"Hügiéne Bt."
121;;16;1504;22228;U14;"Bereczki Benett Barna";"Kanizsa Sörgyár Sportegyesület"
122;;16;1665;22778;U14;"Szél Botond";"Kecskeméti Junior Sport Nonprofit Kft."
122;;16;1771;22034;U18;"Sebestyén Mirkó";"Tisza Sportegyesület"
124;;12;1586;22752;U16;"Jeszenszki Gergő";"Kecskeméti Junior Sport Nonprofit Kft."
125;;12;1519;22120;U14;"Király Alex";"Ajkai Asztalitenisz Sportegyesület"
126;;12;1513;22824;U15;"Péter Balázs";"Kanizsa Sörgyár Sportegyesület"
127;;12;1338;22794;U13;"Horváth Ákos Bendegúz";"Kanizsa Sörgyár Sportegyesület"
128;;12;1534;22951;U14;"Bajáki Zsombor";"Kecskeméti Junior Sport Nonprofit Kft."
129;;10;1515;21864;U17;"Szabó Albert";"Waldorfia Sport Kör"
130;;10;1962;19953;U12;"Pálos Erik";"Mohácsi Torna Egylet 1888"
131;;9;1548;22393;U16;"Szántai Péter";"Dunaharaszti Munkás Testedző Kör"
132;;8;1563;22516;U15;"Szekér Gábor";"Turris Sportegyesület Sopron"
133;;8;1516;22285;U15;"Kázmér Ádám";"Kaposvári Asztalitenisz Club"
133;;8;1643;22132;U14;"Tóth Barnabás";"Budaörsi Sport Club"
135;;8;1906;21266;U16;"Bai Máté";"Pestszentimrei Pingpongosok Sportegyesület"
135;;8;1748;23162;U15;"Vukov Vasilije";"Spartak Subotica (SRB)"
137;;8;1393;22202;U14;"Takács-Lassan Döme";"Hügiéne Bt."
138;;8;1793;20587;U19;"Lombos Miklós";"Félegyházi Asztalitenisz Sportiskola"
139;;5;1631;18232;U19;"Varga Benjamin";"Mosonmagyaróvári Asztalitenisz Sportegyesület"
140;;4;1820;19778;U19;"Csuka Tibor";"Félegyházi Asztalitenisz Sportiskola"
141;;4;1599;22808;U15;"Endl Mátyás";BVSC-Zugló
142;;4;1647;22984;U14;"Szommer Máté";"Turris Sportegyesület Sopron"
143;;4;1384;22825;U10;"Balogh Levente";"Kanizsa Sörgyár Sportegyesület"
144;;4;1644;20214;U15;"Dózsa Dávid";"Dunaharaszti Munkás Testedző Kör"
